0,0,1.7775,1.9,0,2.775,501
1.9,0.95,0,2.85,0.95,2.775,501
2.85,0.95,1.7775,4.75,0.95,2.775,501
4.75,0.95,0,5.7,0.95,2.775,501
0,0.95,2.775,0.95,0.95,5.475,501
0.95,0.95,2.775,1.9,0.95,5.475,501
1.9,0.95,2.775,3.8,0.95,3.755,501
1.9,0.95,4.67,3.8,0.95,5.475,501
3.8,0.95,2.775,4.75,0.95,5.475,501
4.75,0.95,2.775,5.7,0.95,5.475,501
0,1.9,1.7775,0.95,1.9,2.775,501
0,1.9,2.775,0.95,1.9,5.475,501
4.75,2.85,2.775,5.7,2.85,5.475,501
0,3.8,0,0.95,3.8,2.775,501
1.9,3.8,0,2.85,3.8,2.775,501
2.85,3.8,1.7775,4.75,3.8,2.775,501
4.75,3.8,0,5.7,3.8,2.775,501
0,3.8,4.67,0.95,3.8,5.475,501
0.95,3.8,4.67,1.9,3.8,5.475,501
1.9,3.8,4.67,3.8,3.8,5.475,501
3.8,3.8,2.775,4.75,3.8,5.475,501
0,4.75,4.67,0.95,4.75,5.475,501
0.95,4.75,2.775,1.9,4.75,5.475,501
0,6.65,0,0.95,6.65,2.775,501
0.95,6.65,0,1.9,6.65,2.775,501
1.9,6.65,1.7775,2.85,6.65,2.775,501
2.85,6.65,1.7775,5.7,6.65,2.775,501
1.9,6.65,2.775,3.8,6.65,3.755,501
1.9,6.65,4.67,3.8,6.65,5.475,501
3.8,6.65,2.775,4.75,6.65,5.475,501
4.75,6.65,2.775,5.7,6.65,5.475,501
2.85,7.125,0,4.75,7.125,1.1775,501
4.75,7.125,0,5.7,7.125,1.9275,501
0,0,0,0,0.95,2.775,501
0,0.95,0,0,1.9,2.775,501
0,1.9,0,0,2.85,2.775,501
0,2.85,0,0,3.8,2.775,501
0,3.8,0,0,4.75,1.3325,501
0,3.8,1.7775,0,4.75,2.775,501
0,4.75,0,0,5.7,2.775,501
0,5.7,0,0,6.65,2.775,501
0,0.95,2.775,0,1.9,5.475,501
0,1.9,2.775,0,3.8,5.475,501
0,3.8,2.775,0,4.75,4.155,501
0,3.8,4.6,0,4.75,5.475,501
0.95,1.9,0,0.95,2.85,2.775,501
0.95,2.85,0,0.95,3.8,2.775,501
0.95,0.95,4.6,0.95,1.9,5.475,501
0.95,1.9,2.775,0.95,3.8,5.475,501
1.9,0,0,1.9,0.95,2.775,501
1.9,0.95,0,1.9,1.9,2.775,501
1.9,1.9,1.7775,1.9,3.8,2.775,501
1.9,3.8,1.7775,1.9,5.7,2.775,501
1.9,5.7,0,1.9,6.65,2.775,501
1.9,3.8,4.6,1.9,4.75,5.475,501
1.9,4.75,2.775,1.9,5.7,5.475,501
1.9,5.7,2.775,1.9,6.65,5.475,501
4.75,2.85,2.775,4.75,3.8,5.475,501
5.7,0.95,0,5.7,1.9,2.775,501
5.7,1.9,0,5.7,2.85,2.775,501
5.7,2.85,0,5.7,3.8,2.775,501
5.7,3.8,0,5.7,4.75,2.775,501
5.7,4.75,0,5.7,5.7,2.775,501
5.7,5.7,0,5.7,6.65,2.775,501
5.7,0.95,2.775,5.7,1.9,5.475,501
5.7,1.9,2.775,5.7,2.85,5.475,501
5.7,2.85,2.775,5.7,3.8,5.475,501
5.7,3.8,2.775,5.7,5.7,3.755,501
5.7,3.8,4.67,5.7,5.7,5.475,501
5.7,5.7,2.775,5.7,6.65,5.475,501
2.85,6.65,0,2.85,7.125,1.9275,501
5.7,6.65,0,5.7,7.125,1.9275,501
0,0,1.7775,1.9,0,2.775,502
1.9,0.95,0,2.85,0.95,2.775,502
2.85,0.95,1.7775,4.75,0.95,2.775,502
4.75,0.95,0,5.7,0.95,2.775,502
0,0.95,2.775,0.95,0.95,5.475,502
0.95,0.95,2.775,1.9,0.95,5.475,502
1.9,0.95,2.775,3.8,0.95,3.755,502
1.9,0.95,4.67,3.8,0.95,5.475,502
3.8,0.95,2.775,4.75,0.95,5.475,502
4.75,0.95,2.775,5.7,0.95,5.475,502
0,4.75,4.67,0.95,4.75,5.475,502
0.95,4.75,2.775,1.9,4.75,5.475,502
0,6.65,0,0.95,6.65,2.775,502
0.95,6.65,0,1.9,6.65,2.775,502
1.9,6.65,1.7775,2.85,6.65,2.775,502
2.85,6.65,1.7775,5.7,6.65,2.775,502
1.9,6.65,2.775,3.8,6.65,3.755,502
1.9,6.65,4.67,3.8,6.65,5.475,502
3.8,6.65,2.775,4.75,6.65,5.475,502
4.75,6.65,2.775,5.7,6.65,5.475,502
2.85,7.125,0,4.75,7.125,1.1775,502
4.75,7.125,0,5.7,7.125,1.9275,502
0,0,0,0,0.95,2.775,502
0,0.95,0,0,1.9,2.775,502
0,1.9,0,0,2.85,2.775,502
0,2.85,0,0,3.8,2.775,502
0,3.8,0,0,4.75,1.3325,502
0,3.8,1.7775,0,4.75,2.775,502
0,4.75,0,0,5.7,2.775,502
0,5.7,0,0,6.65,2.775,502
0,0.95,2.775,0,1.9,5.475,502
0,1.9,2.775,0,3.8,5.475,502
0,3.8,2.775,0,4.75,4.155,502
0,3.8,4.6,0,4.75,5.475,502
5.7,0.95,0,5.7,1.9,2.775,502
5.7,1.9,0,5.7,2.85,2.775,502
5.7,2.85,0,5.7,3.8,2.775,502
5.7,3.8,0,5.7,4.75,2.775,502
5.7,4.75,0,5.7,5.7,2.775,502
5.7,5.7,0,5.7,6.65,2.775,502
5.7,0.95,2.775,5.7,1.9,5.475,502
5.7,1.9,2.775,5.7,2.85,5.475,502
5.7,2.85,2.775,5.7,3.8,5.475,502
5.7,3.8,2.775,5.7,5.7,3.755,502
5.7,3.8,4.67,5.7,5.7,5.475,502
5.7,5.7,2.775,5.7,6.65,5.475,502
2.85,6.65,0,2.85,7.125,1.9275,502
5.7,6.65,0,5.7,7.125,1.9275,502
0,0,2.775,1.9,0.95,2.775,550
0,0.95,2.775,1.9,3.8,2.775,550
1.9,0.95,2.775,3.8,3.8,2.775,550
3.8,0.95,2.775,5.7,3.8,2.775,550
0,3.8,2.775,1.9,6.65,2.775,550
1.9,3.8,2.775,3.8,6.65,2.775,550
3.8,3.8,2.775,5.7,6.65,2.775,550
0,0.95,5.475,1.9,3.8,5.475,550
1.9,0.95,5.475,3.8,3.8,5.475,550
3.8,0.95,5.475,5.7,3.8,5.475,550
0,3.8,5.475,1.9,6.65,5.475,550
1.9,3.8,5.475,3.8,6.65,5.475,550
3.8,3.8,5.475,5.7,6.65,5.475,550
