1,0,0,0,1.9,0,0,1,1,0.085,0.085,101,204
1,0,0.95,0,5.7,0.95,0,1,1,0.085,0.085,101,204
1,0,3.8,0,5.7,3.8,0,1,1,0.085,0.085,101,204
1,0,6.65,0,5.7,6.65,0,1,1,0.085,0.085,101,204
1,2.85,7.125,0,5.7,7.125,0,1,1,0.085,0.085,101,204
1,0,0,0,0,0.95,0,0,0,0.085,0.085,101,204
1,1.9,0,0,1.9,0.95,0,0,0,0.085,0.085,101,204
1,0,0.95,0,0,3.8,0,0,0,0.085,0.085,101,204
1,1.9,0.95,0,1.9,3.8,0,0,0,0.085,0.085,101,204
1,5.7,0.95,0,5.7,3.8,0,0,0,0.085,0.085,101,204
1,0,3.8,0,0,6.65,0,0,0,0.085,0.085,101,204
1,1.9,3.8,0,1.9,6.65,0,0,0,0.085,0.085,101,204
1,5.7,3.8,0,5.7,6.65,0,0,0,0.085,0.085,101,204
1,2.85,6.65,0,2.85,7.125,0,0,0,0.085,0.085,101,204
1,5.7,6.65,0,5.7,7.125,0,0,0,0.085,0.085,101,204
1,0.95,0.95,0,0.95,3.8,0,0,0,0.085,0.085,101,204
1,0.95,3.8,0,0.95,5.225,0,0,0,0.085,0.085,101,204
1,0,5.225,0,1.9,5.225,0,0,0,0.085,0.085,101,204
1,0,0,2.775,1.9,0,2.775,1,1,0.1,0.15,102,204
1,0,0.95,2.775,5.7,0.95,2.775,0,0,0.1,0.15,102,204
1,0,3.8,2.775,5.7,3.8,2.775,0,0,0.1,0.15,102,204
1,0,6.65,2.775,5.7,6.65,2.775,0,0,0.1,0.15,102,204
1,0,0,2.775,0,0.95,2.775,0,0,0.1,0.15,102,204
1,1.9,0,2.775,1.9,0.95,2.775,0,0,0.1,0.15,102,204
1,0,0.95,2.775,0,3.8,2.775,0,0,0.1,0.15,102,204
1,0.95,0.95,2.775,0.95,3.8,2.775,0,0,0.1,0.15,102,204
1,1.9,0.95,2.775,1.9,3.8,2.775,0,0,0.1,0.15,102,204
1,2.85,0.95,2.775,2.85,3.8,2.775,0,0,0.1,0.15,102,204
