      .020,  .15236E+03
      .040, -.58230E+02
      .060, -.16872E+03
      .080, -.89090E+02
      .100, -.16333E+03
      .120, -.16434E+03
      .140, -.94860E+02
      .160, -.48120E+02
      .180,  .99200E+01
      .200,  .26390E+02
      .220,  .61390E+02
      .240,  .68860E+02
      .260,  .37860E+02
      .280,  .36630E+02
      .300,  .32500E+02
      .320,  .47790E+02
      .340,  .48620E+02
      .360,  .28570E+02
      .380,  .41970E+02
      .400,  .54680E+02
      .420,  .41000E+02
      .440, -.66400E+01
      .460, -.24910E+02
      .480, -.52400E+01
      .500, -.22600E+02
      .520, -.30140E+02
      .540, -.28300E+01
      .560,  .58290E+02
      .580,  .13243E+03
      .600,  .13525E+03
      .620,  .74670E+02
      .640, -.28050E+02
      .660, -.11296E+03
      .680, -.10199E+03
      .700, -.50460E+02
      .720, -.53900E+01
      .740,  .10000E-01
      .760, -.59340E+02
      .780, -.13107E+03
      .800, -.14838E+03
      .820, -.79400E+02
      .840, -.50100E+01
      .860,  .48000E+00
      .880, -.25250E+02
      .900, -.48440E+02
      .920, -.60410E+02
      .940, -.71390E+02
      .960, -.59340E+02
      .980, -.22070E+02
     1.000, -.41190E+02
     1.020, -.93430E+02
     1.040, -.98990E+02
     1.060, -.72850E+02
     1.080, -.25510E+02
     1.100,  .50140E+02
     1.120,  .92450E+02
     1.140,  .45670E+02
     1.160, -.10590E+02
     1.180, -.94100E+01
     1.200,  .63000E+00
     1.220,  .17070E+02
     1.240,  .48020E+02
     1.260,  .62130E+02
     1.280,  .69710E+02
     1.300,  .86830E+02
     1.320,  .11310E+03
     1.340,  .14136E+03
     1.360,  .16803E+03
     1.380,  .18979E+03
     1.400,  .17814E+03
     1.420,  .11185E+03
     1.440,  .11740E+02
     1.460, -.52790E+02
     1.480, -.49730E+02
     1.500, -.32350E+02
     1.520, -.33850E+02
     1.540, -.42790E+02
     1.560, -.38180E+02
     1.580, -.22980E+02
     1.600, -.22460E+02
     1.620, -.17630E+02
     1.640, -.15000E+01
     1.660,  .68000E+00
     1.680, -.11610E+02
     1.700, -.49920E+02
     1.720, -.89010E+02
     1.740, -.70610E+02
     1.760, -.38310E+02
     1.780, -.53910E+02
     1.800, -.81070E+02
     1.820, -.98150E+02
     1.840, -.10789E+03
     1.860, -.76350E+02
     1.880, -.31970E+02
     1.900, -.28730E+02
     1.920, -.44340E+02
     1.940, -.52090E+02
     1.960, -.45980E+02
     1.980, -.28940E+02
     2.000, -.70000E+01
     2.020,  .37040E+02
     2.040,  .10061E+03
     2.060,  .14016E+03
     2.080,  .11226E+03
     2.100,  .44610E+02
     2.120,  .58500E+01
     2.140,  .17000E+00
     2.160,  .19530E+02
     2.180,  .50490E+02
     2.200,  .42870E+02
     2.220, -.36100E+01
     2.240, -.57860E+02
     2.260, -.78720E+02
     2.280, -.33110E+02
     2.300,  .28400E+02
     2.320,  .48630E+02
     2.340,  .17360E+02
     2.360, -.42270E+02
     2.380, -.57340E+02
     2.400, -.11120E+02
     2.420,  .24470E+02
     2.440,  .22470E+02
     2.460,  .25300E+01
     2.480, -.34350E+02
     2.500, -.65500E+02
     2.520, -.78790E+02
     2.540, -.11198E+03
     2.560, -.14633E+03
     2.580, -.13423E+03
     2.600, -.10204E+03
     2.620, -.75510E+02
     2.640, -.45320E+02
     2.660, -.12280E+02
     2.680,  .10790E+02
     2.700,  .15730E+02
     2.720,  .26230E+02
     2.740,  .51330E+02
     2.760,  .43640E+02
     2.780, -.96700E+01
     2.800, -.37790E+02
     2.820,  .34200E+01
     2.840,  .62330E+02
     2.860,  .96280E+02
     2.880,  .10930E+03
     2.900,  .10298E+03
     2.920,  .12279E+03
     2.940,  .17528E+03
     2.960,  .16802E+03
     2.980,  .11845E+03
     3.000,  .10644E+03
     3.020,  .80720E+02
     3.040,  .17820E+02
     3.060,  .62500E+01
     3.080,  .93770E+02
     3.100,  .21201E+03
     3.120,  .24922E+03
     3.140,  .20195E+03
     3.160,  .13404E+03
     3.180,  .75970E+02
     3.200,  .58020E+02
     3.220,  .65270E+02
     3.240,  .80860E+02
     3.260,  .10850E+03
     3.280,  .79200E+02
     3.300, -.48400E+01
     3.320, -.59060E+02
     3.340, -.65200E+02
     3.360, -.17110E+02
     3.380,  .36790E+02
     3.400,  .29800E+01
     3.420, -.90740E+02
     3.440, -.14206E+03
     3.460, -.12486E+03
     3.480, -.86910E+02
     3.500, -.31810E+02
     3.520,  .21140E+02
     3.540, -.32780E+02
     3.560, -.16630E+03
     3.580, -.23650E+03
     3.600, -.22044E+03
     3.620, -.15750E+03
     3.640, -.62650E+02
     3.660,  .30710E+02
     3.680,  .91140E+02
     3.700,  .12499E+03
     3.720,  .15874E+03
     3.740,  .19198E+03
     3.760,  .18492E+03
     3.780,  .12612E+03
     3.800,  .31320E+02
     3.820, -.10421E+03
     3.840, -.19625E+03
     3.860, -.14676E+03
     3.880, -.45100E+02
     3.900,  .28270E+02
     3.920,  .88030E+02
     3.940,  .10681E+03
     3.960,  .11309E+03
     3.980,  .14972E+03
     4.000,  .16299E+03
     4.020,  .10003E+03
     4.040, -.21190E+02
     4.060, -.12110E+03
     4.080, -.13952E+03
     4.100, -.66530E+02
     4.120,  .32080E+02
     4.140,  .45440E+02
     4.160, -.65000E+00
     4.180, -.49240E+02
     4.200, -.89880E+02
     4.220, -.34100E+02
     4.240,  .76860E+02
     4.260,  .59179E+02
     4.280, -.98081E+02
     4.300, -.22521E+03
     4.320, -.20326E+03
     4.340, -.10864E+03
     4.360, -.57330E+02
     4.380, -.85929E+02
     4.400, -.18665E+03
     4.420, -.21143E+03
     4.440, -.73981E+02
     4.460,  .59339E+02
     4.480,  .97930E+02
     4.500,  .11593E+03
     4.520,  .12380E+03
     4.540,  .62790E+02
     4.560, -.48420E+02
     4.580, -.86760E+02
     4.600, -.32760E+02
     4.620, -.74000E+00
     4.640, -.17340E+02
     4.660, -.34550E+02
     4.680, -.29860E+02
     4.700, -.17500E+02
     4.720, -.16190E+02
     4.740,  .35340E+02
     4.760,  .14264E+03
     4.780,  .19307E+03
     4.800,  .17005E+03
     4.820,  .11318E+03
     4.840,  .48800E+02
     4.860,  .36390E+02
     4.880,  .53980E+02
     4.900,  .62520E+02
     4.920,  .72640E+02
     4.940,  .41410E+02
     4.960, -.27849E+02
     4.980, -.61440E+02
     5.000, -.40480E+02
     5.020,  .12440E+02
     5.040,  .78300E+02
     5.060,  .12305E+03
     5.080,  .68450E+02
     5.100, -.81180E+02
     5.120, -.19112E+03
     5.140, -.20920E+03
     5.160, -.17416E+03
     5.180, -.11586E+03
     5.200, -.73010E+02
     5.220, -.40690E+02
     5.240, -.13380E+02
     5.260, -.22950E+02
     5.280, -.38900E+02
     5.300, -.19120E+02
     5.320,  .18540E+02
     5.340,  .62870E+02
     5.360,  .12340E+03
     5.380,  .18605E+03
     5.400,  .20639E+03
     5.420,  .15941E+03
     5.440,  .85161E+02
     5.460,  .21951E+02
     5.480, -.38080E+02
     5.500, -.72960E+02
     5.520, -.57900E+02
     5.540, -.34480E+02
     5.560, -.42330E+02
     5.580, -.78940E+02
     5.600, -.12407E+03
     5.620, -.13870E+03
     5.640, -.89260E+02
     5.660, -.20400E+02
     5.680, -.17420E+02
     5.700, -.63960E+02
     5.720, -.11808E+03
     5.740, -.20218E+03
     5.760, -.27976E+03
     5.780, -.29298E+03
     5.800, -.25795E+03
     5.820, -.21489E+03
     5.840, -.17232E+03
     5.860, -.94719E+02
